user_id,handle,display_name,description,followers_count,following_count,tweet_count,created_at,verified,voice_type,subtype,is_institutional,method,reasoning
204279080,ETH_en,ETH Zurich,This is the official Twitter account of ETH Zurich in English. Deutscher Account: @eth,94949,532,9261,2010-10-18T10:39:04+00:00,False,non_uzh,,False,heuristic,heuristic: no UZH mention in bio or handle
202806809,ETH,ETH Zürich,"Dies ist der offizielle deutsche Twitter-Kanal der ETH Zürich.
English account: @eth_en",89897,510,8277,2010-10-14T21:33:06+00:00,False,non_uzh,,False,heuristic,heuristic: no UZH mention in bio or handle
1082319203493969920,Joel_Mesot,Joël Mesot,"This is the official twitter account of the president of ETH Zurich (@eth, @eth_en).",10356,1140,1524,2019-01-07T16:53:01+00:00,False,non_uzh,,False,heuristic,heuristic: no UZH mention in bio or handle
384753474,UZH_ch,Universität Zürich,Universität Zürich / University of Zurich. News rund um die Universität Zürich. Tweets in English: @UZH_en,27767,406,6133,2011-10-04T08:12:50+00:00,False,official_institutional,,True,heuristic,heuristic: seeded official UZH account
835594501,snsf_ch,Swiss National Science Foundation,"News about the SNSF, SNSF-funded research and national & international research policy. 
Français: @fns_ch
Deutsch: @snf_ch",23377,954,5729,2012-09-20T13:38:14+00:00,False,non_uzh,,False,heuristic,heuristic: no UZH mention in bio or handle
2382286849,MartinVetterli,Martin Vetterli,"President and Professor of Engineering at @EPFL.
My account is not active anymore, follow me on LinkedIn. Why? https://t.co/jsfKMNy4kL",17957,1792,4214,2014-03-10T15:11:12+00:00,False,non_uzh,,False,heuristic,heuristic: no UZH mention in bio or handle
800712463930957825,UZH_Chemistry,UZH Chemistry,,3066,99,693,2016-11-21T14:48:22+00:00,False,decentral_institutional,department_or_lab,True,llm,"The account @UZH_Chemistry is affiliated with the University of Zurich and represents a decentralized academic unit, specifically a chemistry department or lab, based on the handle, display name, and tweets mentioning research groups and publications."
247224642,UZH_Science,UZH Science,"Faculty of Science @UZH_en 
| Mathematisch-naturwissenschaftliche Fakultät @UZH_ch 
| #ShapingTheFuture since 1833",9978,566,6215,2011-02-04T10:42:47+00:00,False,unknown,,False,llm,
133623011,biozentrum,"Biozentrum, University of Basel",We are no longer active on X. You can find us on Bluesky: https://t.co/OquW99dxx2,7273,475,2206,2010-04-16T07:09:16+00:00,False,non_uzh,,False,heuristic,heuristic: no UZH mention in bio or handle
879649891080863744,michal_juricek,Michal Juricek,Chemist • Science Communicator • Group Leader • University of Zurich,4405,445,3808,2017-06-27T10:37:31+00:00,False,decentral_individual,professor,False,llm,"The account is affiliated with UZH as indicated by the bio and mentions of @UZH_Chemistry, and the user is identified as a group leader and chemist, suggesting a professorial role."
